TrialNumber,TruePercentage,YourAnswer,Error
1,66.35,80,3.78
2,71.67,70,0.84
3,56.72,70,3.75
4,30.16,30,0
5,17.65,10,2.96
6,38.6,30,3.12
7,50.62,30,4.37
8,38.98,35,2.04
9,44.68,45,0
10,33.71,20,3.79
11,87.36,100,3.67
12,38.24,70,5
13,97.22,100,1.54
14,68.52,90,4.43
15,44.68,50,2.44
16,36.84,50,3.73
17,32.94,25,3.01
18,90.2,95,2.3
19,93.88,100,2.64
20,72.55,90,4.14
1,50.5,70,4.29
2,92.45,80,3.65
3,45.98,60,3.82
4,96.39,100,1.9
5,98.25,100,0.91
6,53.76,40,3.8
7,88.64,100,3.52
8,11.11,10,0.31
9,86.27,90,1.95
10,78.87,80,0.32
11,79.01,90,3.47
12,45.36,40,2.46
13,88.89,85,2.01
14,60.64,70,3.25
15,62.96,75,3.6
16,14.29,15,0
17,17.02,20,1.63
18,92.86,80,3.7
19,45.83,60,3.84
20,20.9,30,3.21
1,66.67,92,4.67
2,19.61,34,3.86
3,50,68,4.18
4,98.33,92,2.69
5,67.69,83,3.95
6,97.73,96,0.89
7,89.19,94,2.3
8,20.69,24,1.78
9,98.02,99,0.14
10,70.37,81,3.43
11,31.58,18,3.78
12,57.29,62,2.27
13,66.67,84,4.13
14,90.7,93,1.28
15,5.88,8,1.17
16,50,56,2.61
17,20.59,26,2.47
18,26.03,33,2.83
19,57.58,79,4.43
20,36.49,68,4.98
1,98.84,95,1.99
2,75,75,0
3,35.56,25,3.42
4,17.14,16,0.34
5,67.35,80,3.68
6,65.17,75,3.32
7,92.86,90,1.58
8,82.61,90,2.91
9,71.19,75,1.98
10,83.12,86,1.59
11,81.43,86,2.23
12,60.49,80,4.3
13,48.78,33,3.99
14,71.28,83,3.57
15,69.44,60,3.26
16,35.85,26,3.32
17,25,20,2.36
18,40.86,38,1.58
19,76.92,80,1.68
20,40.79,24,4.08
1,23.68,20,1.93
2,25,23,1.09
3,65.56,80,3.86
4,68.18,70,0.96
5,50.91,40,3.46
6,14.44,11,1.84
7,18.39,11,2.91
8,38.46,33,2.48
9,45.45,27,4.22
10,72.55,69,1.88
11,58.14,60,0.99
12,25,20,2.36
13,41.18,39,1.2
14,97.62,90,2.95
15,35.29,25,3.38
16,47.47,37,3.41
17,7.14,7,0
18,74.55,55,4.3
19,12.68,12,0
20,62.16,52,3.36
1,22,34,3.6
2,76.71,87,3.38
3,98.75,87,3.57
4,28.21,20,3.06
5,18.63,15,1.91
6,44.44,36,3.1
7,8.79,10,0.42
8,6.06,6,0
9,80.77,90,3.23
10,68.6,80,3.53
11,53.85,75,4.41
12,47.42,53,2.51
13,32.31,24,3.08
14,46.88,60,3.73
15,76.74,84,2.88
16,28.41,25,1.82
17,39.51,24,3.97
18,40.2,19,4.41
19,100,85,3.92
20,41.67,33,3.14
1,93.1,98,2.33
2,27.78,33,2.42
3,25.32,28,1.49
4,95.31,100,2.27
5,38.82,42,1.72
6,79.49,79,0
7,37.5,40,1.39
8,63.38,69,2.52
9,85.71,89,1.77
10,16,13,1.64
11,13.68,19,2.44
12,30.43,46,3.97
13,46.51,49,1.39
14,16.05,24,3.01
15,48.65,34,3.88
16,63.64,90,4.73
17,96.67,99,1.3
18,16.67,16.67,0
19,19.18,36,4.08
20,7.61,10,1.33
1,66.67,80,3.75
2,37.5,35,1.39
3,63.46,85,4.44
4,70.91,89,4.19
5,51.67,47,2.26
6,85.87,100,3.83
7,22.58,29,2.71
8,44.26,46,0.9
9,92.5,89,1.86
10,82.47,89,2.73
11,14.29,16,0.88
12,51.96,77,4.65
13,41.41,47,2.51
14,100,100,0
15,100,65,5.13
16,41.86,65,4.54
17,16.33,12.5,1.98
18,15.38,20,2.25
19,67.06,85,4.18
20,35.48,27,3.11
1,90.91,100,3.2
2,70,92,4.47
3,100,100,0
4,14.42,14.29,0
5,16.67,12.5,2.1
6,17.65,20,1.31
7,83.05,94,3.47
8,30.95,39,3.03
9,11.58,8.69,1.59
10,87,96,3.19
11,35.64,42,2.7
12,47.73,48,0
13,65.69,87,4.42
14,39.13,48,3.17
15,36.51,48,3.54
16,53.85,69,3.93
17,16.28,19,1.51
18,50,53,1.64
19,84.44,100,3.97
20,19.64,25,2.45
1,42.59,75,5.02
2,71.29,89,4.16
3,90.59,100,3.25
4,19.23,27,2.98
5,23.4,34,3.42
6,46.67,51,2.16
7,64.29,52,3.63
8,55.81,50,2.57
9,77.63,94,4.04
10,62.92,83,4.34
11,56.67,65,3.08
12,55.84,91,5.14
13,67.74,82,3.85
14,62.11,82,4.32
15,37.33,25,3.64
16,87.5,96,3.11
17,60.67,67,2.69
18,58,35,4.53
19,95.71,100,2.14
20,57.84,84,4.72